          ACCESS-CM2   ACCESS-ESM1-5     BCC-CSM2-MR         CanESM5       CanESM5-1      CAS-ESM2-0        E3SM-1-1        GFDL-CM4       GFDL-ESM4    IPSL-CM6A-LR          MIROC6      MRI-ESM2-0         TaiESM1
2015            4.26            3.75            3.35            4.32            4.46            1.12            3.41            4.86            4.39            2.43            3.60            2.21            2.23
2016            4.77            3.04            3.71            3.29            4.76            0.75            2.63            3.82            4.33            1.62            4.06            1.91            2.14
2017            4.20            2.50            3.97            3.55            4.48            0.82            2.96            4.93            3.71            1.60            4.19            1.87            2.10
2018            3.54            1.41            3.29            2.85            4.08            0.91            2.77            4.67            4.44            2.66            3.92            1.31            2.65
2019            2.93            3.60            3.00            3.47            4.71            0.64            2.73            4.96            4.43            2.64            3.55            0.65            3.14
2020            3.03            3.68            3.40            3.05            4.54            0.95            1.89            4.34            4.76            2.63            3.63            2.47            3.32
2021            1.82            3.24            2.82            3.15            4.66            0.71            1.36            5.06            4.20            1.19            3.88            2.07            1.97
2022            2.45            3.48            3.45            3.06            3.68            0.64            1.20            4.78            3.09            1.62            4.00            0.35            2.72
2023            2.41            2.72            4.03            3.24            3.43            0.77            0.35            4.46            3.62            1.47            4.42            0.80            2.90
2024            1.96            3.19            3.31            2.79            2.44            0.81            0.31            4.27            4.20            1.65            3.68            1.20            2.27
2025            2.26            3.34            2.64            3.28            2.30            0.52            0.13            3.94            3.06            1.55            2.98            1.26            2.62
2026            1.50            3.57            2.99            2.48            2.48            0.59            0.39            3.37            3.49            1.28            2.93            2.11            1.69
2027            0.73            3.59            1.75            1.84            2.11            0.44            0.57            3.62            3.68            1.71            2.77            1.05            1.50
2028            0.84            3.09            2.05            1.59            1.94            0.29            0.40            3.41            4.12            1.05            2.27            0.48            2.49
2029            1.28            2.90            2.37            1.82            1.37            0.43            0.34            2.63            3.96            0.47            2.26            2.33            2.41
2030            1.79            3.04            2.49            1.44            1.52            0.29            0.44            3.55            3.39            0.64            2.40            1.11            1.94
2031            1.30            2.66            2.71            1.68            1.77            0.17            0.11            2.89            3.08            0.70            2.75            1.10            0.56
2032            1.31            3.08            1.92            1.51            1.36            0.19            0.05            2.25            3.58            1.44            2.60            0.91            1.44
2033            2.04            1.49            1.92            1.06            1.15            0.14            0.06            3.47            3.70            0.95            2.65            0.66            0.38
2034            0.62            1.00            2.82            1.09            0.76            0.29            0.13            4.08            3.11            1.19            2.30            0.16            0.27
2035            0.46            1.17            2.62            1.13            0.42            0.19            0.09            3.15            2.82            1.91            2.99            0.64            2.27
2036            1.41            1.22            2.21            1.20            0.65            0.63            0.04            2.09            3.30            1.48            2.38            0.38            1.83
2037            0.24            0.78            2.11            0.55            0.28            0.31            0.02            2.46            3.05            1.84            2.02            0.32            0.75
2038            0.50            0.86            2.72            0.86            0.75            0.12            0.01            3.10            2.51            1.16            2.26            0.07            0.89
2039            0.71            0.84            2.20            1.05            0.50            0.08            0.00            2.69            2.16            1.21            2.62            0.03            0.70
2040            0.77            0.36            1.31            0.57            0.26            0.06            0.00            2.66            2.25            1.29            2.31            0.04            0.30
2041            0.56            0.38            2.19            0.57            0.54            0.10            0.00            3.03            2.30            0.68            1.99            0.27            0.12
2042            0.39            0.65            1.98            0.37            0.21            0.16            0.00            1.42            2.41            0.12            2.37            0.03            0.15
2043            0.05            1.04            1.23            0.16            0.46            0.12            0.00            2.35            1.97            0.17            2.21            0.02            0.16
2044            0.22            0.34            2.13            0.25            0.53            0.15            0.01            2.08            2.53            0.10            1.92            0.01            0.19
2045            0.14            0.65            1.58            0.41            0.10            0.10            0.00            2.51            2.03            0.00            1.50            0.01            0.13
2046            0.36            0.20            0.68            0.13            0.23            0.08            0.01            1.71            2.96            0.08            2.01            0.02            0.14
2047            0.20            0.38            0.96            0.10            0.25            0.07            0.00            1.97            2.11            0.10            1.86            0.01            0.19
2048            0.08            0.47            0.27            0.01            0.03            0.06            0.00            1.96            2.14            0.10            1.65            0.01            0.09
2049            0.50            0.26            1.25            0.09            0.06            0.04            0.00            1.44            1.46            0.07            1.48            0.02            0.04
2050            0.03            0.15            0.85            0.08            0.09            0.06            0.00            1.03            1.56            0.05            1.10            0.01            0.02
2051            0.07            0.22            0.66            0.03            0.04            0.05            0.00            1.04            1.32            0.10            0.74            0.02            0.10
2052            0.04            0.11            0.74            0.02            0.08            0.06            0.00            0.45            1.06            0.30            0.73            0.03            0.06
2053            0.10            0.22            0.92            0.10            0.05            0.04            0.00            0.54            1.80            0.00            0.98            0.01            0.07
2054            0.08            0.07            0.87            0.07            0.04            0.03            0.00            1.20            1.62            0.00            0.48            0.01            0.01
2055            0.03            0.11            1.84            0.06            0.03            0.02            0.00            0.55            2.21            0.01            0.14            0.01            0.11
2056            0.01            0.06            0.51            0.10            0.02            0.04            0.00            0.52            2.08            0.00            0.20            0.01            0.02
2057            0.01            0.02            0.88            0.06            0.07            0.03            0.00            0.13            1.79            0.01            0.20            0.02            0.16
2058            0.02            0.16            0.63            0.04            0.04            0.06            0.00            0.28            1.86            0.04            0.23            0.09            0.10
2059            0.00            0.17            0.20            0.04            0.01            0.03            0.00            0.05            1.36            0.02            0.46            0.02            0.02
2060            0.02            0.02            0.33            0.06            0.01            0.01            0.00            0.00            2.05            0.00            1.17            0.01            0.01
2061            0.03            0.05            0.13            0.03            0.00            0.03            0.00            0.28            1.19            0.00            0.58            0.02            0.05
2062            0.01            0.15            0.93            0.00            0.02            0.05            0.00            0.27            0.71            0.00            0.08            0.02            0.04
2063            0.00            0.04            1.05            0.02            0.00            0.03            0.00            0.33            1.10            0.00            0.04            0.02            0.02
2064            0.03            0.11            0.51            0.00            0.01            0.01            0.00            0.14            1.38            0.00            0.09            0.18            0.01
2065            0.10            0.08            0.01            0.00            0.00            0.02            0.00            0.02            1.02            0.00            0.15            0.04            0.02
2066            0.05            0.06            0.06            0.02            0.00            0.04            0.00            0.00            0.36            0.00            0.00            0.01            0.08
2067            0.02            0.26            0.28            0.00            0.00            0.00            0.00            0.00            0.74            0.00            0.00            0.01            0.03
2068            0.01            0.19            0.47            0.00            0.00            0.01            0.00            0.00            0.70            0.00            0.01            0.04            0.00
2069            0.01            0.06            0.55            0.00            0.00            0.02            0.00            0.00            0.48            0.00            0.01            0.03            0.00
2070            0.02            0.04            0.00            0.01            0.00            0.00            0.00            0.00            0.03            0.00            0.00            0.01            0.00
2071            0.01            0.08            0.09            0.01            0.00            0.00            0.00            0.00            0.05            0.00            0.00            0.00            0.00
2072            0.01            0.01            0.19            0.00            0.01            0.00            0.00            0.00            0.12            0.00            0.00            0.01            0.00
2073            0.08            0.09            0.00            0.00            0.00            0.00            0.00            0.00            0.08            0.00            0.00            0.01            0.00
2074            0.01            0.02            0.18            0.00            0.00            0.01            0.00            0.01            0.11            0.00            0.00            0.01            0.00
2075            0.00            0.02            0.36            0.00            0.00            0.00            0.00            0.00            0.80            0.00            0.00            0.01            0.00
2076            0.01            0.03            0.01            0.00            0.00            0.00            0.00            0.00            0.20            0.00            0.00            0.01            0.00
